eng_name,th_name
Alaves,อลาเบส
Almeria,อัลเมเรีย
Athletic Club,แอธเลติก บิลเบา
Atletico Madrid,แอตเลติโก มาดริด
Barcelona,บาร์เซโลนา
Cadiz,คาดิซ
Celta Vigo,เซลต้า บีโก้
Cordoba,คอร์โดบ้า
Deportivo La Coruna, เดปอร์ติโบ ลา คอรุนญ่า
Eibar,เอย์บาร์
Elche,เอลเช่
Espanyol,เอสปันญ่อล
Getafe,เคตาเฟ
Girona,คิโรน่า
Granada,กรานาดา
Las Palmas,ลาส พัลมาส
Leganes,เลกาเนส
Levante,เลบานเต้
Malaga,มาลาก้า
Mallorca,มายอร์ก้า
Osasuna,โอซาซูน่า
Rayo Vallecano,ราโย่ บาเยกาโน่
Real Betis,เรอัล เบติส
Real Madrid,เรอัล มาดริด
Real Sociedad,เรอัล โซเซียดาด
Real Valladolid,เรอัล บายาโดลิด
SD Huesca,ฮูเอสก้า
Sevilla,เซบีย่า
Sporting Gijon,สปอร์ติ้ง กิฆอน
Valencia,บาเลนเซีย
Villarreal,บียาร์เรอัล
Arsenal,อาร์เซน่อล
Aston Villa,แอสตัน วิลล่า
Bournemouth,บอร์นมัธ
Brentford,เบรนท์ฟอร์ด
Brighton,ไบรท์ตัน
Burnley,เบิร์นลีย์
Cardiff,คาร์ดิฟฟ์ซิตี้
Chelsea,เชลซี
Crystal Palace,คริสตัลพาเลซ
Everton,เอฟเวอร์ตัน
Fulham,ฟูแล่ม
Huddersfield,ฮัดเดอร์ฟิลด์ ทาวน์
Hull,ฮัลล์ ซิตี้
Ipswich,อิปสวิช ทาวน์
Leeds,ลีดส์ ยูไนเต็ด 
Leicester,เลสเตอร์ ซิตี้
Liverpool,ลิเวอร์พูล
Luton,ลูตัน ทาวน์
Manchester City,แมนเชสเตอร์ ซิตี้
Manchester United,แมนเชสเตอร์ ยูไนเต็ด
Middlesbrough,มิดเดิ้ลสโบรห์
Newcastle United,นิวคาสเซิ่ล ยูไนเต็ด
Norwich,นอริช ซิตี้
Nottingham Forest,น็อตติ้งแฮม ฟอเรสต์
Queens Park Rangers,ควีนส์ปาร์ค เรนเจอร์ส
Sheffield United,เชฟฟิลด์ ยูไนเต็ด
Southampton,เซาธ์แฮมป์ตัน
Stoke,สโต๊ค ซิตี้
Sunderland,ซันเดอร์แลนด์
Swansea,สวอนซี ซิตี้
Tottenham,สเปอร์ส
Watford,วัดฟอร์ด
West Bromwich Albion,เวสต์บรอมวิช
West Ham,เวสต์แฮมยูไนเต็ด
Wolverhampton Wanderers,วูล์ฟแฮมป์ตัน
AC Milan,เอซี มิลาน
Atalanta,อตาลันต้า
Benevento,เบเนเวนโต้
Bologna,โบโลญญ่า
Brescia,เบรสชา
Cagliari,กายารี่
Carpi,คาร์ปิ
Cesena,เชเซน่า
Chievo,คิเอโว่
Como,โคโม่
Cremonese,เครโมเนเซ
Crotone,โครโตเน่
Empoli,เอ็มโปลี
Fiorentina,ฟิออเรนติน่า
Frosinone,โฟรซิโนเน่
Genoa,เจนัว
Inter,อินเตอร์ มิลาน
Juventus,ยูเวนตุส
Lazio,ลาซิโอ
Lecce,เลชเช่
Monza,มอนซ่า
Napoli,นาโปลี
Palermo,ปาแลร์โม่
Parma,ปาร์ม่า
Parma Calcio 1913,ปาร์มากัลโช 1913
Pescara,เปสคาร่า
Roma,เอเอส โรม่า
SPAL 2013,สปอล
Salernitana,ซาแลร์นิตาน่า
Sampdoria,ซามพ์โดเรีย
Sassuolo,ซัสเซาโล่
Spezia,สเปเซีย
Torino,โตริโน่
Udinese,อูดิเนเซ่
Venezia,เวเนเซีย
Verona,เวโรน่า
Arminia Bielefeld,อาร์มีเนีย บีเลเฟลด์
Augsburg,เอาก์สบวร์ก
Bayer Leverkusen,เลเวอร์คูเซ่น
Bayern Munich,บาเยิร์น มิวนิค
Bochum,โบคุ่ม
Borussia Dortmund,โบรุสเซีย ดอร์ทมุนด์
Borussia M.Gladbach,มึนเช่นกลัคบัค
Darmstadt,ดาร์มสตัดท์
Eintracht Frankfurt,ไอน์ทรัค แฟร้งค์เฟิร์ต
FC Cologne,โคโลญจน์
FC Heidenheim,ไฮเดนไฮม์
Fortuna Duesseldorf,ฟอร์ทูน่า ดุสเซลดอร์ฟ
Freiburg,ไฟรบวร์ก
Greuther Fuerth,กรอยเธอร์ เฟือร์ธ
Hamburger SV,ฮัมบูร์ก
Hannover 96,ฮันโนเวอร์ 96
Hertha Berlin,แฮร์ธ่า เบอร์ลิน
Hoffenheim,โฮฟเฟ่นไฮม์
Holstein Kiel,โฮลสไตน์ คีล
Ingolstadt,อิงโกสตั๊ดท์
Mainz 05,ไมนซ์ 05
Nuernberg,เนิร์นแบร์ก
Paderborn,พาเดอร์บอร์น
RasenBallsport Leipzig,ไลป์ซิก
Schalke 04,ชาลเก้ 04
St. Pauli,ซังต์ เพาลี
Union Berlin,ยูเนี่ยน เบอร์ลิน
VfB Stuttgart,สตุ๊ตการ์ท
Werder Bremen,แวร์เดอร์ เบรเมน
Wolfsburg,โวล์ฟสบวร์ก
Ajaccio,อฌักซิโอ้
Amiens,อาเมียงส์
Angers,อองเช่ร์
Auxerre,โอแซร์
Bordeaux,บอร์กโดซ์
Brest,แบรสต์
Caen,ก็อง
Clermont Foot,แกลร์กมงต์ ฟุต
Dijon,ดิฌง
Evian Thonon Gaillard,มงต์เปลลิเยร์
GFC Ajaccio,จีเอฟซี อาฌักซิโอ
Guingamp,แก็งก็อง
Le Havre,เลอ อาฟร์
Lens,ล็องส์
Lille,ลีลล์
Lorient,ลอริยองต์
Lyon,โอลิมปิก ลียง
Marseille,โอลิมปิก มาร์กเซย
Metz,เม็ตซ์
Monaco,โมนาโก
Montpellier,มงต์เปลลิเยร์
Nancy,น็องซี่
Nantes,น็องต์
Nice,นีซ
Nimes,นีมส์
Paris Saint Germain,ปารีส แซงต์ แชร์กแมง
Reims,แร็งส์
Rennes,แรนส์
SC Bastia,บาสเตีย
Saint-Etienne,แซงต์เอเตียน
Strasbourg,สตราส์บูร์ก
Toulouse,ตูลูส
Troyes,ทรัวส์
AEK Athens,เออีเค เอเธนส์
