season,date,home,away,ht_home,ht_away,ft_home,ft_away
2024,2024-02-16,Shamrock Rovers,Dundalk,0,1,1,1
2024,2024-02-16,Derry City,Drogheda United,0,0,2,1
2024,2024-02-16,Bohemians,Sligo Rovers,1,2,2,2
2024,2024-02-16,Waterford,Shelbourne,1,0,1,1
2024,2024-02-16,Galway United,St Patrick's Athl.,0,1,0,1
2024,2024-02-23,Dundalk,Galway United,0,2,0,2
2024,2024-02-23,St Patrick's Athl.,Bohemians,0,0,0,1
2024,2024-02-23,Drogheda United,Waterford,1,2,1,4
2024,2024-02-23,Shelbourne,Shamrock Rovers,2,0,2,1
2024,2024-02-24,Sligo Rovers,Derry City,0,0,0,0
2024,2024-03-01,Derry City,St Patrick's Athl.,0,0,2,1
2024,2024-03-01,Sligo Rovers,Shelbourne,0,1,0,1
2024,2024-03-01,Galway United,Waterford,0,1,2,1
2024,2024-03-04,Dundalk,Sligo Rovers,0,4,0,5
2024,2024-03-04,Shamrock Rovers,Derry City,0,0,2,2
2024,2024-03-04,Waterford,St Patrick's Athl.,2,1,3,1
2024,2024-03-04,Drogheda United,Bohemians,1,0,2,1
2024,2024-03-04,Shelbourne,Galway United,1,0,1,0
2024,2024-03-08,Derry City,Waterford,2,0,3,0
2024,2024-03-08,Bohemians,Shelbourne,0,0,0,2
2024,2024-03-08,St Patrick's Athl.,Dundalk,1,0,1,0
2024,2024-03-08,Galway United,Drogheda United,0,0,0,0
2024,2024-03-09,Sligo Rovers,Shamrock Rovers,0,0,0,0
2024,2024-03-15,Dundalk,Waterford,0,0,0,0
2024,2024-03-15,Bohemians,Derry City,1,0,2,1
2024,2024-03-15,St Patrick's Athl.,Shelbourne,0,0,1,2
2024,2024-03-15,Galway United,Shamrock Rovers,0,0,0,1
2024,2024-03-16,Sligo Rovers,Drogheda United,2,0,3,1
2024,2024-03-29,Shamrock Rovers,Bohemians,0,0,3,1
2024,2024-03-29,Derry City,Galway United,0,0,0,1
2024,2024-03-29,Waterford,Sligo Rovers,0,0,0,1
2024,2024-03-29,Drogheda United,St Patrick's Athl.,0,0,0,0
2024,2024-03-29,Shelbourne,Dundalk,0,0,2,1
2024,2024-04-01,Dundalk,Drogheda United,0,0,0,0
2024,2024-04-01,St Patrick's Athl.,Sligo Rovers,2,0,3,0
2024,2024-04-01,Waterford,Shamrock Rovers,0,0,1,2
2024,2024-04-01,Shelbourne,Derry City,0,0,0,0
2024,2024-04-01,Galway United,Bohemians,0,1,0,2
