season,date,home,away,ht_home,ht_away,ft_home,ft_away,fixture_id,league_id,home_shots,home_sot,away_shots,away_sot,home_xg_est,away_xg_est
2023,2023-08-26,Bnei Sakhnin,Hapoel Tel Aviv,0.0,1.0,1,1,1036999,383,,,,,,
2023,2023-08-26,Maccabi Petah Tikva,Hapoel Katamon,0.0,1.0,1,1,1036997,383,,,,,,
2023,2023-08-26,Hapoel Beer Sheva,Hapoel Hadera,2.0,0.0,3,0,1037001,383,,,,,,
2023,2023-08-26,Maccabi Netanya,Maccabi Bnei Raina,1.0,0.0,1,1,1037000,383,,,,,,
2023,2023-08-27,Maccabi Tel Aviv,Ashdod,0.0,0.0,4,1,1037002,383,,,,,,
2023,2023-08-28,Beitar Jerusalem,Hapoel Haifa,1.0,0.0,1,2,1037003,383,,,,,,
2023,2023-09-02,Hapoel Petah Tikva,Bnei Sakhnin,1.0,0.0,1,1,1037009,383,,,,,,
2023,2023-09-02,Maccabi Bnei Raina,Hapoel Beer Sheva,1.0,1.0,1,1,1037007,383,,,,,,
2023,2023-09-02,Hapoel Haifa,Maccabi Petah Tikva,0.0,1.0,2,2,1037004,383,,,,,,
2023,2023-09-02,Hapoel Tel Aviv,Maccabi Netanya,1.0,0.0,2,0,1037008,383,,,,,,
2023,2023-09-03,Hapoel Katamon,Maccabi Haifa,1.0,2.0,1,2,1037010,383,,,,,,
2023,2023-09-03,Hapoel Hadera,Maccabi Tel Aviv,0.0,1.0,0,3,1037006,383,,,,,,
2023,2023-09-04,Ashdod,Beitar Jerusalem,1.0,1.0,1,2,1037005,383,,,,,,
2023,2023-09-17,Bnei Sakhnin,Hapoel Katamon,1.0,0.0,2,1,1037012,383,,,,,,
2023,2023-09-17,Maccabi Tel Aviv,Maccabi Bnei Raina,1.0,0.0,1,1,1037015,383,,,,,,
2023,2023-09-17,Hapoel Haifa,Ashdod,0.0,0.0,2,0,1037017,383,,,,,,
2023,2023-09-17,Maccabi Petah Tikva,Maccabi Haifa,1.0,1.0,3,2,1037011,383,,,,,,
2023,2023-09-17,Maccabi Netanya,Hapoel Petah Tikva,2.0,0.0,4,1,1037013,383,,,,,,
2023,2023-09-18,Beitar Jerusalem,Hapoel Hadera,0.0,0.0,2,0,1037016,383,,,,,,
