eng,th
Alaves,Alaves
Almeria,Almeria
Athletic Club,Athletic Club
Atletico Madrid,Atletico Madrid
Barcelona,Barcelona
Cadiz,Cadiz
Celta Vigo,Celta Vigo
Cordoba,Cordoba
Deportivo La Coruna,Deportivo La Coruna
Eibar,Eibar
Elche,Elche
Espanyol,Espanyol
Getafe,Getafe
Girona,Girona
Granada,Granada
Las Palmas,Las Palmas
Leganes,Leganes
Levante,Levante
Malaga,Malaga
Mallorca,Mallorca
Osasuna,Osasuna
Rayo Vallecano,Rayo Vallecano
Real Betis,Real Betis
Real Madrid,Real Madrid
Real Sociedad,Real Sociedad
Real Valladolid,Real Valladolid
SD Huesca,SD Huesca
Sevilla,Sevilla
Sporting Gijon,Sporting Gijon
Valencia,Valencia
Villarreal,Villarreal
Arsenal,Arsenal
Aston Villa,Aston Villa
Bournemouth,Bournemouth
Brentford,Brentford
Brighton,Brighton
Burnley,Burnley
Cardiff,Cardiff
Chelsea,Chelsea
Crystal Palace,Crystal Palace
Everton,Everton
Fulham,Fulham
Huddersfield,Huddersfield
Hull,Hull
Ipswich,Ipswich
Leeds,Leeds
Leicester,Leicester
Liverpool,Liverpool
Luton,Luton
Manchester City,Manchester City
Manchester United,Manchester United
Middlesbrough,Middlesbrough
Newcastle United,Newcastle United
Norwich,Norwich
Nottingham Forest,Nottingham Forest
Queens Park Rangers,Queens Park Rangers
Sheffield United,Sheffield United
Southampton,Southampton
Stoke,Stoke
Sunderland,Sunderland
Swansea,Swansea
Tottenham,Tottenham
Watford,Watford
West Bromwich Albion,West Bromwich Albion
West Ham,West Ham
Wolverhampton Wanderers,Wolverhampton Wanderers
AC Milan,AC Milan
Atalanta,Atalanta
Benevento,Benevento
Bologna,Bologna
Brescia,Brescia
Cagliari,Cagliari
Carpi,Carpi
Cesena,Cesena
Chievo,Chievo
Como,Como
Cremonese,Cremonese
Crotone,Crotone
Empoli,Empoli
Fiorentina,Fiorentina
Frosinone,Frosinone
Genoa,Genoa
Inter,Inter
Juventus,Juventus
Lazio,Lazio
Lecce,Lecce
Monza,Monza
Napoli,Napoli
Palermo,Palermo
Parma,Parma
Parma Calcio 1913,Parma Calcio 1913
Pescara,Pescara
Roma,Roma
SPAL 2013,SPAL 2013
Salernitana,Salernitana
Sampdoria,Sampdoria
Sassuolo,Sassuolo
Spezia,Spezia
Torino,Torino
Udinese,Udinese
Venezia,Venezia
Verona,Verona
Arminia Bielefeld,Arminia Bielefeld
Augsburg,Augsburg
Bayer Leverkusen,Bayer Leverkusen
Bayern Munich,Bayern Munich
Bochum,Bochum
Borussia Dortmund,Borussia Dortmund
Borussia M.Gladbach,Borussia M.Gladbach
Darmstadt,Darmstadt
Eintracht Frankfurt,Eintracht Frankfurt
FC Cologne,FC Cologne
FC Heidenheim,FC Heidenheim
Fortuna Duesseldorf,Fortuna Duesseldorf
Freiburg,Freiburg
Greuther Fuerth,Greuther Fuerth
Hamburger SV,Hamburger SV
Hannover 96,Hannover 96
Hertha Berlin,Hertha Berlin
Hoffenheim,Hoffenheim
Holstein Kiel,Holstein Kiel
Ingolstadt,Ingolstadt
Mainz 05,Mainz 05
Nuernberg,Nuernberg
Paderborn,Paderborn
RasenBallsport Leipzig,RasenBallsport Leipzig
Schalke 04,Schalke 04
St. Pauli,St. Pauli
Union Berlin,Union Berlin
VfB Stuttgart,VfB Stuttgart
Werder Bremen,Werder Bremen
Wolfsburg,Wolfsburg
Ajaccio,Ajaccio
Amiens,Amiens
Angers,Angers
Auxerre,Auxerre
Bordeaux,Bordeaux
Brest,Brest
Caen,Caen
Clermont Foot,Clermont Foot
Dijon,Dijon
Evian Thonon Gaillard,Evian Thonon Gaillard
GFC Ajaccio,GFC Ajaccio
Guingamp,Guingamp
Le Havre,Le Havre
Lens,Lens
Lille,Lille
Lorient,Lorient
Lyon,Lyon
Marseille,Marseille
Metz,Metz
Monaco,Monaco
Montpellier,Montpellier
Nancy,Nancy
Nantes,Nantes
Nice,Nice
Nimes,Nimes
Paris Saint Germain,Paris Saint Germain
Reims,Reims
Rennes,Rennes
SC Bastia,SC Bastia
Saint-Etienne,Saint-Etienne
Strasbourg,Strasbourg
Toulouse,Toulouse
Troyes,Troyes
