team,latest_date,avg_xG,avg_xGA,opp_avg_xG,opp_avg_xGA,predict
Fulham,2025-05-25,1.05,1.32,1.4,1.38,-
Lazio,2025-05-25,1.66,1.05,1.45,0.58,-
Southampton,2025-05-25,0.55,1.91,0.8,1.57,🛡️ รองสวนราคา
Venezia,2025-05-25,1.51,1.32,1.18,1.71,-
Atalanta,2025-05-25,2.51,1.38,2.37,0.82,🔁 BTTS (ทั้งคู่ยิง)
Girona,2025-05-25,0.83,1.73,1.26,1.03,-
Manchester United,2025-05-25,1.97,1.01,1.29,1.94,⚽ Over 2.5
Bournemouth,2025-05-25,1.2,1.25,1.03,1.28,-
Ipswich,2025-05-25,0.54,1.85,0.78,2.13,🛡️ รองสวนราคา
Newcastle United,2025-05-25,2.55,0.52,1.61,1.73,⚽ Over 2.5
Torino,2025-05-25,1.48,1.95,0.78,1.18,-
Athletic Club,2025-05-25,1.75,1.34,0.86,0.73,-
Wolverhampton Wanderers,2025-05-25,1.55,1.38,0.61,1.14,-
Empoli,2025-05-25,0.72,0.78,1.13,1.32,-
Tottenham,2025-05-25,1.65,2.44,0.65,1.8,⚽ Over 2.5
Liverpool,2025-05-25,2.49,1.36,2.99,1.94,⚽ Over 2.5
Udinese,2025-05-25,1.06,1.74,1.22,1.28,-
Villarreal,2025-05-25,2.09,1.37,1.54,1.7,⚽ Over 2.5
Nottingham Forest,2025-05-25,1.29,1.36,0.91,2.07,-
Espanyol,2025-05-24,1.3,0.86,1.36,1.75,-
Getafe,2025-05-24,1.38,1.49,0.87,1.84,-
Leganes,2025-05-24,1.3,1.03,1.01,1.95,-
Alaves,2025-05-24,1.5,0.77,1.02,1.48,-
Real Madrid,2025-05-24,3.14,1.28,2.12,2.75,⚽ Over 2.5
AC Milan,2025-05-24,1.22,1.08,1.46,0.94,-
Bologna,2025-05-24,0.72,0.77,0.92,1.06,-
Rayo Vallecano,2025-05-24,1.43,0.94,1.04,2.11,-
Napoli,2025-05-23,1.87,0.54,1.08,0.52,🔥 ต่อยิงขาด
Real Betis,2025-05-23,1.28,1.36,1.06,1.86,-
Como,2025-05-23,1.79,1.36,1.42,1.68,⚽ Over 2.5
Crystal Palace,2025-05-20,1.41,0.81,2.88,1.48,-
Manchester City,2025-05-20,1.21,1.19,1.88,0.83,-
Brighton,2025-05-19,1.23,1.76,1.68,1.85,-
Parma Calcio 1913,2025-05-18,1.47,0.92,1.16,1.49,-
Valencia,2025-05-18,1.7,0.61,1.03,1.78,⚽ Over 2.5
Genoa,2025-05-18,0.7,1.37,0.91,1.79,-
